access,接近・利用(の機会)
advance,進歩する
advantage,利点
ancestor,先祖
ancient,古代の
apply,申し込む
approach,～に近づく
appropriate,適切な
aspect,(物事の)側面
attend,～に出席する
attitude,考え方
audience,(集合的に)聴衆
bear,～に耐える
bill,請求書
blank,空白の
both,両方とも
cell,細胞
challenge,～に異議を唱える
charge,料金
clay,粘土
complex,複雑な
conflict,争い
connect,～をつなぐ
contain,～を含む
content,内容
contrast,対照
correct,正しい
crop,作物
decade,10年間
decline,衰退する
degree,程度
despite,にもかかわらず
detail,詳細(な情報)・細部
determine,～を決定する
due,(支払)期日で
emotion,感情
epoch,時代
establish,～を設立する
eventually,結局は
explanation,説明
express,表現する
feature,特徴
fine,罰金
fit,～に適合する
fuel,燃料
function,機能
gain,～を獲得する
habit,習慣・癖
income,収入
maintain,～を維持する
male,男性の
manage,～をどうにか成し遂げる
medium,(情報伝達の)媒体
mention,～に言及する・と言う
method,方法
mobile,可動・移動式の
necessary,必要な
object,反対する
observe,～に気づく
occur,起こる
official,公式の
otherwise,さもなければ
perform,～を行う
plastic,柔軟な
political,政治(上)の
positive,積極的な
prefer,～のほうを好む
prepare,～を準備する
prevent,～を妨げる
private,私的な
profit,利益
prove,～を証明する
publish,～を出版する
range,範囲
recognize,～を識別できる
refer,言及する
regard,～を見なす
region,地域
replace,～にとって代わる
represent,～を表す
resources,資源
respect,～を尊敬する
search,捜す
seek,～を追い求める
significant,重要な
solution,解決(策)
spread,～を広める
status,地位
structure,構造
supply,～を供給する
suppose,～と思う
surface,表面
survive,生き延びる
temperature,温度
therefore,それゆえに
thus,したがって
trade,貿易
treat,～を扱う
waste,～を浪費する
worth,～の価値がある
