abolish,～を廃止する
accidental,偶然の
assure,～に自信を持っていう
basin,洗面器
bathe,～をふろに入れる
bleed,出血する
bold,大胆な
bug,虫
bureau,(官庁の)局
chronic,慢性の
compel,～に強いる
comprehend,～を理解する
conform,順応する
console,～を慰める
converse,会話する
cruise,巡航する
designate,～を指定する
devastate,～を荒らす
diagnousis,診断
disrupt,～を混乱させる
distort,～をゆがめる
domain,分野
drag,～を引きずる
excess,過剰・超過
exert,～を及ぼす
feast,祝宴
flagment,断片
flesh,(人・動物の)肉
fraction,わずか
frontier,国境
garment,衣服
germ,細菌
glimpse,ちらりと見えること
glow,輝き
grace,優美
gradual,徐々の
hierarchy,(社会の)階層制
holy,神聖な
immune,免疫を持つ
incorporate,～を取り入れる
index,指標
indigenous,原産の・先住の
indispensible,不可欠な
induce,～を引き起こす・説得する
integrate,～を統合する
irony,皮肉
irrelevant,無関係の
lag,遅れる
landmark,目印
lessen,～をすくなくする
maximum,最大限
metropolitan,大都市の
monument,記念碑
naked,裸の
nightmere,悪夢
oblige,～に義務付ける
obsession,妄想
outline,～の要点を述べる
outstanding,際立った
paradox,逆説
pastime,気晴らし
plug in,～を電源に差し込む
precede,～に先行する
prehistoric,有史以前の
prolong,～を長引かせる
protocol,議定書
provoke,～を引き起こす・刺激する
reassure,～を安心させる
rebel,反逆者
refuge,避難(所)
regain,～を取り戻す
retail,小売りの
revise,～を修正する
scarce,乏しい
scenery,景色
scrub,磨く
sewage,下水
shed,～を捨て去る
sincere,誠実な
slavery,奴隷制度
soar,急上昇する
sorrow,悲しみ
spouse,配偶者
squeeze,～を押し込む
stir,～をかき回す
straightforward,単純な
strip,～を取り去る
supervisor,監督者
symbolize,～を象徴する
tame,飼いならされた
timber,木材
tomb,墓
toxic,有毒な
transaction,(商)取引
trivial,ささいな
utilize,～を利用する
utter,(声を)発する
vivid,鮮やかな
vulnerable,もろい
worsen,～を悪化させる
