accommodate,～を収容する
aisle,通路
alternate,代わりの
amateur,素人・アマチュア
ambassador,大使
anthropology,人類学
assemble,～を集める
bargain,買い得品
boredom,退屈
botany,植物学
clap,(手)をたたく
clarify,～を明確にする
cling,しがみつく
commonplace,(日常的に)当たり前の
confess,告白する
conspicuous,目立つ
contend,～と主張する
contradict,～を矛盾する
deficit,赤字・不足
deliberate,故意の
depart,出発する
diameter,直径
dim,薄暗い
dissolve,～を溶かす
drastic,徹底的な
dye,～を染める
embody,～を具現する
enclose,～を同封する
enrich,～を豊かにする
envy,～をうらやむ
erase,～を消す
erosion,浸食
erupt,噴火する
evoke,～をよびおこす
fertile,肥沃な
fierce,猛烈な
flame,炎
flush,～を紅潮させる
greed,強欲
halt,～を止める
headline,見出し
hollow,空洞の
hostile,敵意のある
ideology,イデオロギー・思想傾向
immense,膨大な
invade,～を侵略する
jealous,嫉妬深い
laundry,洗濯(物)
leak,漏れる
legacy,遺産
liver,肝臓
manuscript,原稿
merchandise,商品
misery,悲惨
moisture,水分
navegate,航行する
neat,きちんとした
orphan,孤児
overtake,～を追い抜く
partial,部分的な
peculiar,特有の
penetrate,～の内部に入る
peninsla,半島
plague,疫病
pray,祈る
pregnant,妊娠した
prose,散文
rage,激怒
resign,辞任する
retrieve,～を回収する
revenge,復讐する
revenue,歳入
ripe,熟した
rumor,うわさ
scratch,～をひっかく
script,台本
sew,～を縫う
sin,(宗教・道徳上の)罪
sparkle,輝く
spontaneous,自然発生的な
startle,～をびっくりさせる
steer,操縦する
strive,努力する
suiside,自殺
superficial,表面的な
supreme,最高の
surpass,～を上回る
suspend,～を停職処分にする
taboo,禁忌・タブー
tolerate,～を許容する・我慢する
trail,跡
transparent,透明な
undergraduate,学部学生
undertake,～を引き受ける
vacuum,真空
verse,韻文
voluntary,自発的な
warfare,戦争
warrior,戦士
weave,～を織る
