abrupt,突然の
ache,痛む
acute,激しい
approximate,おおよその
arithmetic,計算
await,待つ
bankrupt,破産させる
bind,縛る
biography,伝記
breakthrough,大発見、飛躍的進歩
bulk,（the～）大半
cabinet,（the C-）内閣
carriage,車両
certificate,証明書
cherish,心に抱く
collision,衝突
compulsory,義務的な
congratulate,（人を）祝う
creep,忍び込む
crude,天然の、未精製の
damp,湿った
deed,行い
depict,描く
dictate,指図する
disguise,変装させる
dose,（薬の）服用量
dread,ひどく恐る
eminent,高名な
encyclopedia,百科事典
enlarge,拡大する
enroll,登録する、入会する
eternal,永遠の
execute,実行する
extinguish,（火、光などを）消す
faint,かすかな
fake,偽造する
feminine,女らしい
foresee,予知する
friction,不和
furnish,備付ける
fusion,融合
grind,（穀物などを）挽く
haste,急ぐこと
hatch,孵化させる
heir,相続人
humid,湿気のある
illuminate,照らす
inclined,～する傾向がある
indulge,ふける
infinite,無限の
intermediate,中級の
kneel,跪く
legislation,法律
liable,～しがちな
masculine,男らしい
masterpiece,傑作
means,手段
mend,修繕する
mercury,水銀
mischief,いたずら
mold,鋳型
monarchy,君主制
monopoly,独占（権）
notable,注目に値する
notorious,悪名高い
nourish,栄養を与える
odor,におい
omit,省く
pardon,許し
pilgrim,巡礼者
pill,錠剤
recite,暗唱する
reign,治世
rhyme,詩歌
rotten,腐った
savage,獰猛な
scope,範囲
signify,意味する
slap,（平手で）叩く
slaughter,虐殺
sore,痛い
sour,酸っぱい
spectacle,壮観
stain,汚す
static,静的な
stumble,つまずく
superfluous,余分な
surplus,余剰
surrender,屈する
swear,誓う
swift,素早い
tender,優しい
thirst,（のどの）渇き
trifle,些細なこと
undermine,徐々に蝕む
utmost,最大限の
vein,血管
vocational,職業の
ward,病棟
wither,しおれる
