addict,(受身形で)凝る、中毒になる
advent,(the～)出現、到来
affluent,裕福な
agony,苦痛
ample,十分すぎるほどの、豊富な
anguish,苦悩
apathy,無感動
apparatus,器具一式
archaeology,考古学
aristocracy,(the～)貴族社会
ascend,上がる
assault,暴行する、攻撃する
astronomy,天文学
aviation,航空(学)
bless,恩恵を与える
bribe,賄賂
carve,彫る
cavity,虫歯(の穴)
coincide,同時に起こる、一致する
conceive,思いつく
congestion,混雑
conscience,良心
contemplate,熟考する、予想する
contempt,軽蔑
creed,(宗教上の)信条
cynical,冷笑的な
disclose,公表する
discreet,思慮分別のある
dismay,落胆
divert,(注意など)をそらす
dubious,疑わしい
eclipse,日食、月食
eloquent,雄弁な
erect,建てる、直立させる
evaporate,蒸発する
exclaim,叫ぶ
exile,亡命(者)、(国外)追放
expel,追放する
expire,期限が切れる
explicit,明白な
ferment,発酵させる
flaw,欠点
furious,激怒した、猛烈な
grim,(状況などが)暗い
gross,総計の
implicit,暗黙の
intrude,侵害[侵入]する
lament,嘆き悲しむ
literal,文字通りの
meditate,瞑想する
melancholy,憂鬱
merge,合併する、融合する
mourn,悼む
ornament,装飾(品)
pant,あえぐ
parasite,寄生虫
personnel,職員、人員
pessimistic,悲観的な
pirce,貫く、(穴)を開ける
pledge,誓う
ponder,熟考する
premium,保険料
prestige,名声
presume,推定する
proclaim,宣言する
questionnaire,アンケート
reckless,無謀な
render,(ある状態に)する
resent,憤慨する
riot,暴動
rotate,回転する、循環する
ruthless,無慈悲な
scorn,軽蔑(2)
senator,上院議員
singular,驚くべき、奇妙な
skeptical,懐疑的な(about)
slender,ほっそりした
soak,浸す
solemn,厳粛な
spacious,広々とした
spatial,空間の
specimen,標本
speculate,推測する
statesman,政治家
subscribe,予約購読する
suck,吸う
surge,殺到する
symmetry,(左右)対称
textile,織物、繊維(産業)
token,しるし
ultraviolet,紫外線の
vacant,空いている
vain,無駄な、うぬぼれた
velocity,速度
verge,(the～)瀬戸際
vigor,活力
wary,用心深い(of)
weary,疲れ果てた、うんざりした(of)
weird,異様な
wicked,邪悪な
