abide,従う(by)
allege,主張する
analogy,類推、類似
anecdote,逸話
anonymous,匿名の
arbitrary,恣意的な
ascribe,原因を(..に)帰する(to)
attorney,弁護士
authentic,本物の
catastrophe,大災害
censorship,検閲
coerce,強要する
cohesion,結束
compatible,互換性のある
comply,従う(with)、応じる
conceit,うぬぼれ
condemn,非難する、(受身)有罪を宣告させる
contaminate,汚染する、堕落させる
corrupt,堕落させる
deficient,欠けている(in)
defy,反抗する
degrade,価値を下げる、降格する
delinquency,(青少年の)非行、犯罪
deteriorate,悪化する
diplomacy,外交(的手腕)
discern,理解する、識別する
divine,神の
dizzy,めまいがする、当惑した
doctrine,(政策上の)主義、教義
emancipate,解放する
embark,乗り出す(on)、乗船[搭乗]する
endow,授ける、寄贈する
entity,実体
extravagant,浪費する
fallacy,誤った考え
feudal,封建時代[制度]の
folklore,民話
heredity,遺伝、世襲
homogenous,均質の
hostage,人質
humiliate,自尊心を傷つける
hygiene,衛生(状態)
hypocrisy,偽善
imminent,差し迫った
impair,損なう
incessant,絶え間のない
infer,推論する
inflict,(害などを)負わせる
ingenious,独創的な
inherent,生来の
inspect,点検する
intelligible,理解できる
intervene,介入する(in)
intricate,複雑な
intrigue,興味を持たせる
juvenile,青少年の
lawsuit,(民事)訴訟
legitimate,合法的な
monetary,金銭的な、金融の
monotonous,単調な
mortal,致命的な
nuisance,厄介(なこと[人])
obsolete,廃れた
oppress,抑圧する
ordeal,厳しい試練
perpetual,ひっきりなしの
persecute,迫害する
plausible,もっともらしい
plead,嘆願する(with)
plight,窮状
preach,説教する
preliminary,予備の、準備の
preoccupation,没頭
prescribe,処方する
reconcile,一致させる(with)和解させる
reproach,非難する
restrain,制止する、規制する
retrospect,回想
revolt,反逆する(against)
rhetoric,修辞(法)
sanction,(～s)制裁
scrutiny,精査、監視
segment,部分
sober,しらふの
solitude,ひとりでいること
sovereign,君主
stall,露店、失速
subordinate,下位の(to)
summon,呼びつける
superstition,迷信
synthesis,合成
testify,証言する
testimony,証言、証拠
thrust,押し付ける
tyranny,暴政、専制国家
ubiquitous,至る所にある
unleash,(抑えていたものを)爆発させる
verdict,(陪審の)評決、評価
warrant,令状
zealous,熱心な
