accompany,同行する
acknowledge,認める
admire,感嘆する
annoy,悩ます(受身形で)腹が立つ
anxious,心配して
apologize,謝る
approve,賛成する、承認する
asteroid,小惑星
biological,生物学(上)の
blaze,炎
bond,絆
boundary,境界(線)
capture,捕らえる
collapse,崩壊する
companion,連れ
component,構成要素
conservation,(動植物などの)保護
cope,うまく処理する
council,(地方)議会
courage,勇気
crash,衝突する、墜落する
crucial,重要な
curious,好奇心の強い
declare,宣言する
democratic,民主主義の
devote,ささげる
discrimination,差別
distinct,明らかに異なる
distribute,分配する
disturb,かき乱す、邪魔する
dominate,支配する
drought,干ばつ
ease,軽減する
endanger,危険にさらす
enhance,(価値など)を高める
exact,正確な
exception,例外
exhaust,疲れ果てさせる、排気する
export,輸出する
extraordinary,異常な
fate,運命
globe,地球
gravity,重力、引力
grocery,食料雑貨(～ies)
guard,護衛者
hemisphere,半球
illustrate,説明する
initial,初めの
isolate,孤立させる
jury,陪審
justice,公正、正義
launch,開始する、発射する
lend,貸す
license,免許(証)
liquid,液体
litter,ごみ
logic,論理
luxury,ぜいたく(品)
marine,海の
minor,小さい
mood,気分、雰囲気
numerous,非常に数の多い
occupy,(空間・時間)を占める
odd,奇妙な、奇数の
orbit,軌道
passion,情熱
persuade,説得する
physhician,内科医
possess,所有している
prejudice,偏見
principal,主要な
priority,優先(事項)
profession,職業
protest,抗議する
pure,純粋な
pursue,追求する
puzzle,当惑させる
quit,やめる
racial,人種の、民族の
rational,理性的な
remark,述べる
remote,遠く離れた
rent,賃借りする
resemble,似ている
rude,無礼な
scare,おびえさせる
secretary,秘書
secure,確保する
stimulate,刺激する
sum,金額
superior,よりすぐれた
surgeon,外科医
surround,取り巻く
swallow,飲み込む
trace,痕跡、微量
trap,わな
treasure,宝物
tropical,熱帯の
urge,促す
vital,必要不可欠な、生き生きした
