abuse,濫用、虐待
accomplish,成し遂げる、(受身で)熟達している
accuse,非難する、告訴する
administration,管理(部)、行政、政府(機関)
ambition,野望、野心
architecture,建築
artificial,人口の(⇔natural 自然の)、不自然な
attach,付ける
attribute,(結果など)を(…に)帰する、人のせいにする
beat,打つ、打ち負かす
bias,偏見、傾向
bow,お辞儀する、屈服する
brief,短い
calculate,計算する、予測する
candidate,候補(者)
convey,伝える、運ぶ
cooperation,協力
debt,借金
defeat,負かす、失敗させる
defend,防御する、弁護する
delight,喜ばせる(…を)大いに喜ぶ(in)
derive,由来する、引き出す
deserve,に値する
detect,感知する、見つけ出す
discount,割引
discourage,(人)にやる気をなくさせる、落胆させる
donor,寄贈者
eliminate,取り除く
enthusiasm,熱情(for)
equivalent,等しい、相当する
evaluate,評価する、査定する
expedition,遠征(隊)
external,外部の、対外的な
fairy,妖精の(ような)、(～tale)でおとぎ話
faith,信頼、信仰心
fare,(乗り物の)料金
flexible,融通の利く、柔軟な
fold,折り畳む、(腕など)を組む
foster,促進する、養育する
frame,枠、縁、骨組み
frequent,頻繁な
frustrate,挫折させる、(受身で)不満を抱く(with)
geography,(the～)地理、地理学
guilty,罪悪感のある、有罪の(of)、(feel～)で気がとがめる
herd,群れ、群衆
honor,光栄、名誉、敬意
incredible,信じられない、すばらしい
informal,形式ばらない、略式の
instinct,本能、勘
intense,強烈な
internal,内部の、国内の
league,(競技)連盟、同盟
literary,文学の
load,積む、負わせる
manual,体を使う、(～labor)で肉体労働
millennium,千年間
mineral,鉱物
minimum,最小限度
mode,方式、気分
modest,謙虚な
monitor,監視する、傍受する
neglect,怠る、無視する
peer,じっと見る
permanent,永続的な(⇔temporary 一時的な)
pesticide,殺虫剤、除草剤
pile,積み重ねる
plain,明らかな
pollen,花粉
pose,(問題など)を提起する
pour,注ぐ、放出する
precise,正確な、精密な
prefecture,県、府
prohibit,禁止する
prospect,見込み、展望、有望な人
proverb,ことわざ
punish,罰する
raw,生の、未加工の
reef,礁、暗礁
relieve,和らげる(受身で)安心する(to)、解放する
resist,抵抗する
restrict,制限する
retire,引退する、退職する
rubbish,ごみ
semester,学期
sequence,一連(のもの)、連続
session,集まり、～会
shrink,縮む、減少する
sibling,きょうだい(男女区別なし)
solid,個体の、頑丈な
sophisticated,洗練された、精巧な
specialize,専門とする、専攻する(in)(≒major)
stretch,伸ばす、広げる
sue,告訴する、訴訟を起こす
suspect,ではないかと思う、(人)を疑う
sustain,持続させる、支える
tap,有効利用する、引き出す
temporary,一時的な
usage,語法、使用(法)
vice,悪、欠点
visible,(目に)見える、明白な
